Power=  120	FLYMODE 	 Yaw= 345.27	 Pitch= -0.99	 Roll= 0.34	 Error pitch= 0.96	 Error roll= -0.25	 Eng1= 1116	 Eng2= 1114	 Eng3= 1126	 Eng4= 1124	Delta T=4224
Power=  120	FLYMODE 	 Yaw= 345.88	 Pitch= 0.24	 Roll= -0.10	 Error pitch= -0.26	 Error roll= -0.20	 Eng1= 1124	 Eng2= 1122	 Eng3= 1118	 Eng4= 1116	Delta T=4124
Power=  119	FLYMODE 	 Yaw= 346.39	 Pitch= 0.74	 Roll= -0.11	 Error pitch= -0.73	 Error roll= -0.04	 Eng1= 1123	 Eng2= 1123	 Eng3= 1115	 Eng4= 1115	Delta T=4108
Power=  119	FLYMODE 	 Yaw= 343.83	 Pitch= 0.29	 Roll= -0.18	 Error pitch= -0.33	 Error roll= 0.07	 Eng1= 1120	 Eng2= 1120	 Eng3= 1118	 Eng4= 1118	Delta T=4140
Power=  119	FLYMODE 	 Yaw= 343.42	 Pitch= 0.21	 Roll= 0.05	 Error pitch= -0.24	 Error roll= 0.02	 Eng1= 1120	 Eng2= 1120	 Eng3= 1118	 Eng4= 1118	Delta T=4152
Power=  119	FLYMODE 	 Yaw= 344.99	 Pitch= 0.84	 Roll= -0.31	 Error pitch= -0.86	 Error roll= 0.11	 Eng1= 1124	 Eng2= 1124	 Eng3= 1114	 Eng4= 1114	Delta T=4192
Power=  119	FLYMODE 	 Yaw= 345.57	 Pitch= 1.01	 Roll= -0.22	 Error pitch= -1.04	 Error roll= 0.15	 Eng1= 1125	 Eng2= 1125	 Eng3= 1113	 Eng4= 1113	Delta T=4208
Power=  120	FLYMODE 	 Yaw= 346.24	 Pitch= 0.09	 Roll= -0.23	 Error pitch= -0.09	 Error roll= 0.22	 Eng1= 1119	 Eng2= 1121	 Eng3= 1119	 Eng4= 1121	Delta T=4148
Power=  119	FLYMODE 	 Yaw= 346.94	 Pitch= -0.02	 Roll= 0.10	 Error pitch= -0.02	 Error roll= 0.00	 Eng1= 1119	 Eng2= 1119	 Eng3= 1119	 Eng4= 1119	Delta T=4148
Power=  119	FLYMODE 	 Yaw= 346.22	 Pitch= 0.47	 Roll= -0.03	 Error pitch= -0.49	 Error roll= 0.03	 Eng1= 1122	 Eng2= 1122	 Eng3= 1116	 Eng4= 1116	Delta T=4116
Power=  119	FLYMODE 	 Yaw= 345.60	 Pitch= 0.57	 Roll= -0.27	 Error pitch= -0.60	 Error roll= 0.05	 Eng1= 1122	 Eng2= 1122	 Eng3= 1116	 Eng4= 1116	Delta T=4148
Power=  119	FLYMODE 	 Yaw= 341.64	 Pitch= 0.38	 Roll= 0.13	 Error pitch= -0.41	 Error roll= 0.04	 Eng1= 1121	 Eng2= 1121	 Eng3= 1117	 Eng4= 1117	Delta T=4144
Power=  120	FLYMODE 	 Yaw= 340.09	 Pitch= 0.20	 Roll= -0.12	 Error pitch= -0.23	 Error roll= 0.01	 Eng1= 1121	 Eng2= 1121	 Eng3= 1119	 Eng4= 1119	Delta T=4208
Power=  119	FLYMODE 	 Yaw= 344.52	 Pitch= -0.96	 Roll= 0.35	 Error pitch= 0.92	 Error roll= -0.12	 Eng1= 1113	 Eng2= 1113	 Eng3= 1125	 Eng4= 1125	Delta T=4156
Power=  119	FLYMODE 	 Yaw= 344.32	 Pitch= -1.03	 Roll= 0.11	 Error pitch= 1.06	 Error roll= -0.20	 Eng1= 1114	 Eng2= 1112	 Eng3= 1126	 Eng4= 1124	Delta T=4116
Power=  119	FLYMODE 	 Yaw= 342.65	 Pitch= -0.20	 Roll= 0.11	 Error pitch= 0.18	 Error roll= -0.15	 Eng1= 1119	 Eng2= 1119	 Eng3= 1119	 Eng4= 1119	Delta T=4156
Power=  119	FLYMODE 	 Yaw= 342.01	 Pitch= 0.18	 Roll= -0.13	 Error pitch= -0.19	 Error roll= -0.08	 Eng1= 1120	 Eng2= 1120	 Eng3= 1118	 Eng4= 1118	Delta T=4132
Power=  120	FLYMODE 	 Yaw= 341.72	 Pitch= 0.77	 Roll= -0.26	 Error pitch= -0.80	 Error roll= 0.06	 Eng1= 1125	 Eng2= 1125	 Eng3= 1115	 Eng4= 1115	Delta T=4120
Power=  119	FLYMODE 	 Yaw= 341.68	 Pitch= 0.90	 Roll= -0.26	 Error pitch= -0.92	 Error roll= 0.19	 Eng1= 1123	 Eng2= 1125	 Eng3= 1113	 Eng4= 1115	Delta T=4204
Power=  119	FLYMODE 	 Yaw= 340.71	 Pitch= 0.84	 Roll= -0.16	 Error pitch= -0.87	 Error roll= 0.19	 Eng1= 1123	 Eng2= 1125	 Eng3= 1113	 Eng4= 1115	Delta T=4188
Power=  119	FLYMODE 	 Yaw= 340.79	 Pitch= 0.60	 Roll= -0.28	 Error pitch= -0.66	 Error roll= 0.20	 Eng1= 1121	 Eng2= 1123	 Eng3= 1115	 Eng4= 1117	Delta T=4156
Power=  119	FLYMODE 	 Yaw= 344.93	 Pitch= -0.54	 Roll= 0.20	 Error pitch= 0.50	 Error roll= 0.05	 Eng1= 1116	 Eng2= 1116	 Eng3= 1122	 Eng4= 1122	Delta T=4160
Power=  120	FLYMODE 	 Yaw= 345.74	 Pitch= -0.90	 Roll= 0.30	 Error pitch= 0.89	 Error roll= -0.13	 Eng1= 1115	 Eng2= 1115	 Eng3= 1125	 Eng4= 1125	Delta T=4112
Power=  120	FLYMODE 	 Yaw= 345.88	 Pitch= -1.20	 Roll= 0.36	 Error pitch= 1.17	 Error roll= -0.26	 Eng1= 1114	 Eng2= 1112	 Eng3= 1128	 Eng4= 1126	Delta T=4160
Power=  120	FLYMODE 	 Yaw= 344.95	 Pitch= -0.90	 Roll= 0.23	 Error pitch= 0.89	 Error roll= -0.30	 Eng1= 1117	 Eng2= 1115	 Eng3= 1125	 Eng4= 1123	Delta T=4204
Power=  120	FLYMODE 	 Yaw= 343.68	 Pitch= -0.34	 Roll= 0.10	 Error pitch= 0.34	 Error roll= -0.21	 Eng1= 1120	 Eng2= 1118	 Eng3= 1122	 Eng4= 1120	Delta T=4188
Power=  121	FLYMODE 	 Yaw= 343.68	 Pitch= -0.24	 Roll= 0.06	 Error pitch= 0.21	 Error roll= -0.17	 Eng1= 1120	 Eng2= 1120	 Eng3= 1122	 Eng4= 1122	Delta T=4164
Power=  121	FLYMODE 	 Yaw= 345.49	 Pitch= -0.37	 Roll= 0.09	 Error pitch= 0.34	 Error roll= -0.12	 Eng1= 1119	 Eng2= 1119	 Eng3= 1123	 Eng4= 1123	Delta T=4160
Power=  120	FLYMODE 	 Yaw= 345.50	 Pitch= -0.26	 Roll= 0.05	 Error pitch= 0.25	 Error roll= -0.11	 Eng1= 1119	 Eng2= 1119	 Eng3= 1121	 Eng4= 1121	Delta T=4156
Power=  122	FLYMODE 	 Yaw= 345.06	 Pitch= 0.06	 Roll= 0.05	 Error pitch= -0.09	 Error roll= -0.10	 Eng1= 1122	 Eng2= 1122	 Eng3= 1122	 Eng4= 1122	Delta T=4172
Power=  120	FLYMODE 	 Yaw= 343.98	 Pitch= 0.28	 Roll= 0.05	 Error pitch= -0.27	 Error roll= -0.05	 Eng1= 1122	 Eng2= 1122	 Eng3= 1118	 Eng4= 1118	Delta T=4160
Power=  120	FLYMODE 	 Yaw= 342.10	 Pitch= 0.43	 Roll= -0.13	 Error pitch= -0.46	 Error roll= 0.02	 Eng1= 1122	 Eng2= 1122	 Eng3= 1118	 Eng4= 1118	Delta T=4192
Power=  120	FLYMODE 	 Yaw= 344.27	 Pitch= 0.34	 Roll= 0.08	 Error pitch= -0.38	 Error roll= -0.01	 Eng1= 1122	 Eng2= 1122	 Eng3= 1118	 Eng4= 1118	Delta T=4148
Power=  120	FLYMODE 	 Yaw= 346.16	 Pitch= 0.18	 Roll= 0.05	 Error pitch= -0.18	 Error roll= -0.05	 Eng1= 1120	 Eng2= 1120	 Eng3= 1120	 Eng4= 1120	Delta T=4124
Power=  120	FLYMODE 	 Yaw= 346.06	 Pitch= 0.40	 Roll= 0.01	 Error pitch= -0.43	 Error roll= -0.05	 Eng1= 1123	 Eng2= 1123	 Eng3= 1117	 Eng4= 1117	Delta T=4128
Power=  121	FLYMODE 	 Yaw= 345.61	 Pitch= 0.55	 Roll= -0.13	 Error pitch= -0.55	 Error roll= 0.00	 Eng1= 1124	 Eng2= 1124	 Eng3= 1118	 Eng4= 1118	Delta T=4116
Power=  121	FLYMODE 	 Yaw= 345.63	 Pitch= 0.76	 Roll= -0.17	 Error pitch= -0.78	 Error roll= 0.07	 Eng1= 1126	 Eng2= 1126	 Eng3= 1116	 Eng4= 1116	Delta T=4144
Power=  120	FLYMODE 	 Yaw= 345.67	 Pitch= 1.01	 Roll= -0.26	 Error pitch= -1.04	 Error roll= 0.14	 Eng1= 1126	 Eng2= 1126	 Eng3= 1114	 Eng4= 1114	Delta T=4208
Power=  121	FLYMODE 	 Yaw= 344.62	 Pitch= 0.93	 Roll= -0.13	 Error pitch= -0.96	 Error roll= 0.14	 Eng1= 1126	 Eng2= 1126	 Eng3= 1116	 Eng4= 1116	Delta T=4216
Power=  122	FLYMODE 	 Yaw= 343.23	 Pitch= 0.74	 Roll= -0.11	 Error pitch= -0.77	 Error roll= 0.09	 Eng1= 1126	 Eng2= 1126	 Eng3= 1118	 Eng4= 1118	Delta T=4144
Power=  121	FLYMODE 	 Yaw= 343.35	 Pitch= 0.16	 Roll= 0.03	 Error pitch= -0.21	 Error roll= 0.05	 Eng1= 1121	 Eng2= 1121	 Eng3= 1121	 Eng4= 1121	Delta T=4116
Power=  121	FLYMODE 	 Yaw= 343.49	 Pitch= -0.25	 Roll= 0.09	 Error pitch= 0.22	 Error roll= -0.02	 Eng1= 1120	 Eng2= 1120	 Eng3= 1122	 Eng4= 1122	Delta T=4144
Power=  122	FLYMODE 	 Yaw= 343.35	 Pitch= 1.08	 Roll= -0.19	 Error pitch= -1.08	 Error roll= -0.03	 Eng1= 1130	 Eng2= 1130	 Eng3= 1114	 Eng4= 1114	Delta T=4124
Power=  135	FLYMODE 	 Yaw= 343.07	 Pitch= 1.88	 Roll= -0.50	 Error pitch= -1.90	 Error roll= 0.19	 Eng1= 1146	 Eng2= 1148	 Eng3= 1122	 Eng4= 1124	Delta T=4152
Power=  149	FLYMODE 	 Yaw= 343.34	 Pitch= 1.00	 Roll= -0.28	 Error pitch= -1.07	 Error roll= 0.32	 Eng1= 1152	 Eng2= 1154	 Eng3= 1144	 Eng4= 1146	Delta T=4228
